id,us,square,sub_square,preservation,length,width,thickness,thermal_alteration,edge_wear,patina
103.2,D3d base,47,f,distal,16.2,13.7,2.3,no,1,no
104.2,A2,111,a,distal,36.3,17,2.7,no,0,no
105.2,D3d base,59,e,distal,20.8,21.2,6.2,no,0,gley1 8/N-10Y
107.2,A1,62,b,distal,31,17.9,5.9,no,0,7.5YR 5/6
108.2,A2,86,g,distal,33.7,25.1,7.3,no,0,gley2 6/5B
109.2,A2,115,c,distal,35.6,24.6,5.2,no,0,no
111.2,D6,110,a,distal,21,16.8,4.7,no,0,no
113.2,A2,110,a,distal,17.1,14,4.5,no,0,no
115.2,A2,50,g,distal,17.1,16.7,3.1,no,1,no
116.2,A2,111,g,mesial,17.7,17.6,6,yes,1,gley1 8/N
117.2,A2,92,a,distal,17.2,11.8,2.9,no,1,no
119.2,A2,77,g,distal,26,24.2,4.6,no,0,gley1 5/N-10Y
120.2,A1,70,e,distal,51.3,30.6,11.1,no,0,no
121.2,A2,55,h,distal,24.8,16.4,4.2,no,0,no
122.2,A1,40,i,distal,20.2,16.5,2.6,no,0,no
123.2,A2,77,i,distal,36.6,15.5,4.5,no,0,10YR 6/6
124.2,A1,63,e,distal,48.9,18.2,6.3,no,1,2.5Y 6/1
126.2,D3d base,68,b,distal,32.9,17.6,3.4,no,2,no
128.2,D3+D6,95,e,mesial,23.4,15.9,4.6,no,0,10YR 7/4
129.2,D3d base,68,e,distal,29.5,14.1,4.4,no,0,no
132.2,A2,80,f,distal,23.6,19.8,3.9,no,0,no
133.2,A2,95,h,distal,18,20.1,6.1,no,0,no
134.2,A2,91,e,mesial,10.6,14.2,3.1,no,0,no
136.2,A2,100,d,distal,25.3,12.1,4.6,no,1,no
137.2,A2,130,g,mesial,27,26.5,6.8,no,0,gley1 6/N-10Y
138.2,A2,66,a,mesial,31.8,12.3,3,no,0,no
139.2,A2,55,b,distal,17,20.6,4.8,yes,2,no
140.2,A1,58,c,distal,63.5,25.6,7.6,no,0,no
141.2,D3d base,76,g,distal,25.2,12.7,2.5,no,0,no
142.2,D6,118,c,distal,16,12.6,2,no,1,no
143.2,A2,88,c,mesial,7.6,11.9,2.1,no,0,no
144.2,A1,77,b,mesial,23.4,12.7,3.2,no,0,no
146.2,A2,77,i,mesial,20.7,16.4,4.6,yes,2,no
147.2,A2,77,b,distal,25.3,16.9,3.4,no,0,no
148.2,D3a+b sabbie,138,h,distal,34.8,19.5,6.3,no,1,10YR 5/6
149.2,D3+D6,102,h,distal,44.4,15.8,4.6,no,0,no
151.2,D3d base,47,d,mesial,32.1,18.5,4.2,no,0,no
152.2,A2,110,d,mesial,33.4,18.2,9.5,yes,2,no
157.2,D3+D6,101,i,distal,32.5,17.4,2.8,no,1,no
158.2,D6,91,d,mesial,19.5,16.7,4.1,no,0,no
159.2,A2,95,c,distal,31.3,21.8,4.4,no,1,7.5YR 8/2
162.2,A2,95,i,distal,39.3,18,6.2,no,0,no
163.2,A2,115,b,distal,32.1,14.7,5.1,no,1,gley1 8/N
164.2,A2,120,g,distal,34.8,14.9,6.7,no,0,no
165.2,A2,91,h,distal,25.7,13.2,3.8,no,1,no
166.2,A2,111,e,distal,25.5,13.9,3,no,1,no
167.2,D6,91,f,mesial,38.3,16.7,4.4,no,0,no
169.2,A2,91,h,distal,21.6,21.7,4.1,no,0,10YR 7/4
170.2,A1,69,g,mesial,14.1,12.1,3.1,no,0,gley1 8/N-10Y
171.2,A1,50,d,mesial,32.1,16.4,3.4,no,0,no
173.2,A2,81,d,distal,39.9,14.4,3.6,no,0,gley1 5/N
174.2,A2,88,d,mesial,35,21.4,6.1,no,0,no
175.2,A2,62,d,distal,40.2,16.3,7.8,no,0,no
176.2,A2,86,f,distal,19.5,19.3,2.1,no,0,no
177.2,A1,52,c,distal,17,18.7,2.2,no,0,no
178.2,A2,55,i,distal,33,14.9,2.9,no,1,no
179.2,D3d base,68,e,distal,13.6,12.5,2.1,no,0,gley1 8/N
180.2,A1,72,b,distal,18.9,12.3,4.2,no,0,no
181.2,A1,71,g,mesial,17.9,12.6,2.7,no,0,no
182.2,A2,45,b,distal,44.8,13.1,2.5,no,0,gley1 7/N
183.2,A1,72,h,distal,19.1,13.9,2,no,0,no
184.2,A2,67,i,distal,19.1,13.7,3.4,no,0,no
185.2,A2,62,h,mesial,18.3,12,3.9,no,0,gley1 3/N
187.2,A2,58,c,distal,34.7,22.5,7.9,yes,1,no
188.2,A1,72,i,distal,26.2,21.2,9.8,no,2,gley1 7/N-10Y
190.2,A2,95,c,mesial,25,21.2,5,no,0,gley2 6/10B
191.2,A2,77,f,mesial,26.2,24.4,4.8,no,0,no
192.2,A2,95,f,distal,22,13.2,6.2,no,0,no
193.2,A2,55,h,mesial,41.4,17.8,5.7,no,0,no
194.2,A2,40,e,mesial,28,26.9,5.2,no,0,gley1 7/N
196.2,A2,115,c,mesial,16.5,13.7,4,yes,1,no
198.2,A2,95,c,mesial,23.7,15.7,4.2,no,0,gley1 7/N
205.2,A2,55,h,mesial,24.9,20.2,4.3,yes,0,7.5YR 8/2
206.2,A1,58,e,mesial,27.2,14.8,3.6,no,0,no
207.2,D6,81,e,distal,26.1,13.3,4.7,no,1,gley1 7/N
208.2,A2,91,f,distal,29.4,15,2.6,no,2,5Y 8/1
209.2,A2,100,f,mesial,40.3,22,4.7,no,1,no
211.2,D6,118,e,distal,23.8,17.2,4.6,no,2,10YR 8/1
212.2,D6,116,h,distal,32.3,13,3.2,no,1,gley1 6/N
213.2,A2,110,d,distal,46.2,21.3,5.9,no,1,no
215.2,A2,115,c,mesial,17.8,15.1,3.2,no,1,no
216.2,D6,101,b,distal,26.3,12.9,4.1,no,0,no
217.2,D6,101,e,distal,17.3,14.9,3.8,no,0,gley1 7/N-10Y
218.2,D6,125,d,distal,41.3,13.3,6.5,no,1,gley1 8/10Y
219.2,D3+D6,101,c,mesial,22.2,12.4,5.6,no,1,no
222.2,A2,87,g,distal,34.6,15.6,6.8,no,0,no
223.2,A2,57,a,mesial,11.3,27.6,10.6,no,0,no
224.2,A2,40,c,distal,22.8,12.8,3.1,no,0,no
225.2,A2,67,e,distal,52.6,13.9,3.9,no,1,no
226.2,A2,50,d,distal,22.8,12.2,3.4,no,1,no
230.2,A2,100,c,distal,31,15.6,4,no,1,no
231.2,A2,101,e,mesial,21.3,16.1,6,no,0,no
232.2,D3d base,z50,i,mesial,24.8,13.6,2,no,0,no
233.2,A1,62,a,distal,48.1,29.4,6.6,no,0,no
234.2,A2,80,f,mesial,30,18,7,no,0,no
235.2,A2,91,c,mesial,22.3,13.2,2.8,no,0,no
236.2,A2,40,g,distal,23,13,2.8,no,0,no
237.2,A1,81,a,mesial,21.6,12.1,2.9,no,0,no
239.2,A2,95,g,distal,24,13.6,3.2,no,0,no
240.2,A2,91,h,distal,24,12.6,2.8,no,0,2.5Y 7/1
241.2,A1,72,h,distal,31.1,13.5,3.4,no,1,2.5Y 5/6
242.2,A2,101,a,distal,26,12.8,2.8,no,0,no
243.2,D6,121,i,distal,26,12.1,2.2,no,2,no
244.2,D3+D6,101,d,distal,22.4,15,3.6,no,0,no
13.3,A2,115,a,distal,27.3,12.3,7.8,no,0,2.5Y 8.5/1
67.3,D3d base,78,i,distal,32,17.2,3.7,no,1,no
89.3,A1,55,c,mesial,14.5,15.7,3.6,no,1,gley1 7/N
98.3,D6,117,f,distal,31,16.7,5.2,no,0,no
116.3,A2,65,b,distal,35.2,18.6,5.7,no,0,gley2 6/5B
137.3,A2,110,e,distal,16.3,20.6,5.8,no,0,gley1 7/N-10Y
198.3,A2,95,c,distal,20,13.7,4,no,0,gley1 7/N
231.3,A2,101,e,distal,15,12.3,5.1,no,1,no
235.3,A2,102,h,distal,23.2,12.9,3,no,1,no
237.3,A2,50,d,distal,20.8,13,2.7,no,0,no
79.1,D6,NA,NA,mesial,25.6,15.7,4.1,no,1,no
171.1,D6,NA,NA,proximal,20.5,16.3,4.3,no,0,no
188.1,D6,NA,NA,proximal,38.8,23,8.5,yes,2,gley1 6/N
238.1,A2,79,d+e,proximal,16.4,12.1,2.1,no,0,no
88.2,D6,106,a+b,distal,30.3,19.1,5.6,no,0,no
238.2,A2,79,d+e,distal,24,12.2,2,no,0,no
