blank.ID,frag.ID,US.a,blank.ID,frag.ID,US.b
167,167.1,A2,167,167.2,D6
168,168.1,D3+D6,168,168.2,D3+D6
169,169.1,A1,169,169.2,A2
170,170.1,A2,170,170.2,A1
171,171.1,D6,171,171.2,A1
172,172.1,A1,172,172.2,A2
173,173.1,A2,173,173.2,A2
174,174.1,A2,174,174.2,A2
175,175.1,A2,175,175.2,A2
176,176.1,A2,176,176.2,A2
177,177.1,A1,177,177.2,A1
178,178.1,A1,178,178.2,A2
179,179.1,D3d base,179,179.2,D3d base
180,180.1,A1,180,180.2,A1
181,181.1,A1,181,181.2,A1
182,182.1,A2,182,182.2,A2
183,183.1,A1,183,183.2,A1
184,184.1,A1,184,184.2,A2
185,185.1,A2,185,185.2,A2
186,186.1,D6,186,186.2,A2
187,187.1,A2,187,187.2,A2
188,188.1,D6,188,188.2,A1
189,189.1,D6,189,189.2,A2
190,190.1,A2,190,190.2,A2
191,191.1,D3d base,191,191.2,A2
192,192.1,A2,192,192.2,A2
193,193.1,A1,193,193.2,A2
194,194.1,A2,194,194.2,A2
195,195.1,A2R,195,195.2,A2R
196,196.1,A2,196,196.2,A2
197,197.1,A2,197,197.2,A2
198,198.1,A1,198,198.2,A2
199,199.1,A2,199,199.2,A2
200,200.1,D3d,200,200.2,A2
201,201.1,A2R,201,201.2,A2
202,202.1,A2,202,202.2,A1
203,203.1,A2,203,203.2,A2
204,204.1,A1,204,204.2,A2
205,205.1,A1,205,205.2,A2
206,206.1,D3d base,206,206.2,A1
207,207.1,D3d,207,207.2,D6
208,208.1,A2,208,208.2,A2
209,209.1,A2,209,209.2,A2
210,210.1,D3+D6,210,210.2,D3d
211,211.1,D6,211,211.2,D6
212,212.1,D6,212,212.2,D6
213,213.1,A2,213,213.2,A2
214,214.1,A2,214,214.2,A2
215,215.1,A2,215,215.2,A2
216,216.1,A2,216,216.2,D6
217,217.1,A2R,217,217.2,D6
218,218.1,A2,218,218.2,D6
219,219.1,A2,219,219.2,D3+D6
220,220.1,D6,220,220.2,A2R
221,221.1,D3a+b,221,221.2,A2
222,222.1,D3d,222,222.2,A2
223,223.1,A2,223,223.2,A2
224,224.1,A2,224,224.2,A2
225,225.1,A2,225,225.2,A2
226,226.1,A2,226,226.2,A2
227,227.1,A2,227,227.2,D3d base
228,228.1,A2,228,228.2,A2R
229,229.1,D1c,229,229.2,A2
230,230.1,A2,230,230.2,A2
231,231.1,A2,231,231.2,A2
232,232.1,D3d base,232,232.2,D3d base
233,233.1,A1,233,233.2,A1
234,234.1,A2,234,234.2,A2
235,235.1,A2,235,235.2,A2
236,236.1,A2,236,236.2,A2
237,237.1,A1,237,237.2,A1
238,238.1,A2,238,238.2,A2
239,239.1,A2,239,239.2,A2
240,240.1,A2,240,240.2,A2
241,241.1,A1,241,241.2,A1
242,242.1,A2,242,242.2,A2
243,243.1,A2,243,243.2,D6
244,244.1,D3+D6,244,244.2,D3+D6
245,245.1,A2,245,245.2,A2
246,246.1,D3b alpha,246,246.2,D3b alpha
247,247.1,A2,247,247.2,A2
13,13.2,A2,13,13.3,A2
67,67.2,D3d base,67,67.3,D3d base
89,89.2,D3b,89,89.3,A1
97,97.2,A2,97,97.3,D3a+b sabbie
98,98.2,D6,98,98.3,D6
116,116.2,A2,116,116.3,A2
137,137.2,A2,137,137.3,A2
153,153.2,A1,153,153.3,A2
198,198.2,A2,198,198.3,A2
231,231.2,A2,231,231.3,A2
235,235.2,A2,235,235.3,A2
237,237.2,A1,237,237.3,A2
246,246.2,D3b alpha,246,246.3,D3b alpha
137,137.3,A2,137,137.4,A2
246,246.3,D3b alpha,246,246.4,D3b alpha
