ID,unit,square,sub.square,raw.material,termal.alteration,class,blank,technology,technology.extended,cortex,cortex.y.n,preservation,preservation.extended,length,width,thickness,elongation,robustness,platform.width,platform.thickness,platformW.T.,platform.type,platform.shape,platform.angle,dorsal.thinning,bulb,bulb.type,bulbar.scar,lip,lip.type,curvature,torsion,cross.section,cross.section.symmetry,scar.count,axiality,scar.pattern,distal.end,distal.end.profile,blank.shape,bladelet.neg.blade,blade.neg.flake,typology,retouch.position,dorsal.retouch.localization,ventral.retouch.localization,retouch.length,volume,surface,mesh
RF.b_4106,A2,55,NA,Maiolica,FALSE,Blank,Bladelet,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,11.80000019,1.700000048,0,6.941176388,4.5,2.5,NA,Plain,Oval,75,Abrasion,FALSE,NA,FALSE,TRUE,Pronounced,Curved,0,Flat,TRUE,2,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4107,A2,55,NA,Maiolica,FALSE,Blank,Bladelet,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,10.80000019,2.599999905,0,4.15384638,3.700000048,1.100000024,NA,Plain,Rectangular,75,Abrasion;Hinged scars,FALSE,NA,FALSE,TRUE,Moderate,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4108,A2,55,NA,Maiolica,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,14.5,4.099999905,0,3.536585448,5.199999809,1.200000048,4.333333002,Plain,Oval,60,Abrasion,TRUE,Moderate,FALSE,TRUE,Pronounced,Straight,0,Trapezoidal,TRUE,3,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4109,A2,55,NA,Scaglia.Rossa,TRUE,Blank,Flake,Optimal,Optimal,0%,no,Distal,Almost-complete,38.09999847,21,8.899999619,1.814285642,2.359550663,NA,NA,NA,Undetermined,Undetermined,NA,NA,FALSE,NA,FALSE,FALSE,NA,Curved slightly,0,Triangular,FALSE,1,Axial,Unidirectional parallel,Convex,Feathered,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4110,A2,55,NA,Maiolica,FALSE,Blank,Flake,Optimal,Optimal,0%,no,Complete,Complete,24.70000076,22.60000038,2,1.092920369,11.30000019,5.5,2,NA,Cortical,Oval,75,Abrasion,FALSE,NA,FALSE,TRUE,Moderate,Curved slightly,0,Flat,FALSE,0,Axial,Unidirectional parallel,Convex,Feathered,Irregular,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4111,A2,55,NA,Maiolica,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,14.39999962,2.599999905,0,5.538461595,3.200000048,1.299999952,2.461538589,Plain,Triangular,75,Abrasion,TRUE,Moderate,FALSE,TRUE,Pronounced,Curved slightly,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4112,A2,55,NA,Scaglia.Rossa,TRUE,Blank,Bladelet,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,11,3.400000095,0,3.235294027,3,1.200000048,NA,Plain,Oval,75,Abrasion,FALSE,NA,FALSE,TRUE,Pronounced,Curved slightly,0,Lateral steep,FALSE,1,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4113,A2,55,NA,Maiolica,FALSE,Blank,Bladelet,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,6.800000191,1.899999976,0,3.578947514,2.5,0.300000012,NA,Linear,Linear,75,Hinged scars,FALSE,NA,FALSE,TRUE,Moderate,Curved slightly,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4114,A2,55,NA,Maiolica,FALSE,Blank,Bladelet,Optimal,Optimal,0%,no,Complete,Complete,21,6.199999809,1.799999952,3.387096878,3.44444443,2.400000095,0.600000024,NA,Linear,Linear,60,Abrasion,FALSE,NA,FALSE,TRUE,Pronounced,Straight,0,Triangular,TRUE,1,Axial,Unidirectional parallel,Convex,Feathered,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,102.9416504,209.9771884,Yes
RF.b_4115,A2,55,NA,Scaglia.Variegata,FALSE,Blank,Bladelet,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,8.399999619,2.299999952,0,3.652173823,4.199999809,1.399999976,NA,Plain,Oval,60,Abrasion;Hinged scars,FALSE,NA,FALSE,TRUE,Pronounced,Curved slightly,0,Trapezoidal,TRUE,2,NA,Unidirectional convergent,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4116,A2,55,NA,Scaglia.Variegata,FALSE,Blank,Bladelet,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,8.899999619,1.700000048,0,5.235293746,3.700000048,0.600000024,NA,Linear,Linear,60,Abrasion;Pointed scars,TRUE,Moderate,FALSE,TRUE,Moderate,Straight,0,Triangular,TRUE,1,NA,Unidirectional convergent,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4117,A2,55,NA,Undetermined,TRUE,Blank,Bladelet,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,6.599999905,1,0,6.599999905,2.900000095,1.200000048,NA,Plain,Winged,60,Abrasion,TRUE,Moderate,FALSE,TRUE,Moderate,Straight,0,Flat,TRUE,1,NA,Unidirectional transverse,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4118,A2,55,NA,Maiolica,FALSE,Blank,Bladelet,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,6,1.100000024,0,5.454545336,2.799999952,0.400000006,NA,Linear,Linear,60,Abrasion,FALSE,NA,FALSE,TRUE,Moderate,Curved slightly,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,Convergent,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4119,A2,55,NA,Maiolica,FALSE,Blank,Flake,Maintenance,Tablet,0%,no,Proximal,Mesio-proximal,NA,21.29999924,3.299999952,0,6.454545317,4,3,NA,Plain,Rectangular,75,Abrasion,FALSE,NA,FALSE,TRUE,Pronounced,Straight,0,Lateral steep,FALSE,0,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4120,A2,55,NA,Scaglia.Rossa,FALSE,Blank,Blade,Semi-cortical,Semi-cortical,1-33%,yes,Complete,Complete,36.40000153,12.60000038,4.5,2.888888923,2.800000085,0.699999988,0.5,1.399999976,Punctiform,Punctiform,60,Abrasion,FALSE,NA,FALSE,TRUE,Moderate,Curved,0,Trapezoidal,TRUE,4,Axial,Unidirectional parallel,Straight,Step,Sub-parallel,TRUE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4121,A2,55,NA,Scaglia.Variegata,FALSE,Blank,Blade,Semi-cortical,Semi-cortical,33-66%,yes,Proximal,Mesio-proximal,NA,28.29999924,11.10000038,0,2.549549393,7.400000095,1.799999952,4.111111273,Plain,Irregular,75,Hinged scars,TRUE,Moderate,FALSE,TRUE,Pronounced,Straight,0,Lateral steep,FALSE,1,NA,Crossed,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
