ID,unit,square,sub.square,raw.material,termal.alteration,class,blank,technology,technology.extended,cortex,cortex.y.n,preservation,preservation.extended,length,width,thickness,elongation,robustness,platform.width,platform.thickness,platformW.T.,platform.type,platform.shape,platform.angle,dorsal.thinning,bulb,bulb.type,bulbar.scar,lip,lip.type,curvature,torsion,cross.section,cross.section.symmetry,scar.count,axiality,scar.pattern,distal.end,distal.end.profile,blank.shape,bladelet.neg.blade,blade.neg.flake,typology,retouch.position,dorsal.retouch.localization,ventral.retouch.localization,retouch.length,volume,surface,mesh
RF.b_15,A1,62,b,Maiolica,FALSE,Tool,Blade,Semi-cortical,Semi-cortical,33-66%,yes,Complete,Complete,72.69999695,21.79999924,7.599999905,3.334862362,2.868420988,3.599999905,0.800000012,4.499999814,Linear,Linear,75,No,FALSE,NA,FALSE,TRUE,Pronounced,Straight,0,Lateral steep,FALSE,1,Axial,Unidirectional parallel,Convex,Feathered,Sub-parallel,TRUE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,3.200000048,4585.722168,2844.249332,Yes
RF.b_17,A2,78,c,Other,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,22.79999924,21.39999962,5,1.065420544,4.279999924,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Mesial left,NA,3.099999905,,,
RF.b_25,A2,55,b,Scaglia.Variegata,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Almost-complete,50,19.79999924,5.5,2.525252623,3.599999861,3,2,1.5,Plain,Oval,60,Abrasion,FALSE,NA,TRUE,TRUE,Pronounced,Curved slightly,0,Trapezoidal,FALSE,2,Axial,Unidirectional parallel,Irregular,Undetermined,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,7,2372.125977,1837.712121,Yes
RF.b_31,A2,65,g,Scaglia.Variegata,FALSE,Blank,Blade,Maintenance,Maintenance,0%,no,Complete,Complete,38.20000076,15.80000019,3.799999952,2.417721538,4.157894839,5.099999905,0.200000003,25.49999914,Linear,Linear,75,Hinged scars,FALSE,NA,FALSE,TRUE,Moderate,Curved,0,Trapezoidal,TRUE,2,Off-axis right,Unidirectional convergent,Straight,Plunging,Sub-parallel,TRUE,FALSE,NA,NA,NA,NA,NA,1236.834839,1170.09981,Yes
RF.b_33,A1,70,a,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,34,20.79999924,9.399999619,1.634615445,2.212765966,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Polyhedral,TRUE,3,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade Aurignacian,Direct,Continuous left,NA,8.899999619,,,
RF.b_35,A2,62,d,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,21.39999962,13.10000038,3.5,1.63358771,3.742857252,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left,NA,NA,,,
RF.b_36,A1,pre.80,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,26.20000076,16.20000076,4.300000191,1.617283922,3.767441871,6.199999809,2.900000095,2.137930898,Plain,Oval,80,Hinged scars,FALSE,NA,TRUE,TRUE,Moderate,Straight,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous bilateral,NA,3.599999905,,,
RF.b_37,A2,41,NA,Maiolica,FALSE,Tool,Blade,Semi-cortical,Semi-cortical,1-33%,yes,Distal,Mesio-distal,58.90000153,18.70000076,7.099999905,3.149732573,2.63380296,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Curved,0,Lateral steep,FALSE,1,Axial,Unidirectional parallel,Undetermined,Undetermined,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Distal left;Mesial right,NA,5,,,
RF.b_38,A1,68,NA,Other,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,34,24.79999924,5.800000191,1.370967784,4.275861797,17.10000038,6.699999809,2.552238936,Faceted,Oval,75,Abrasion,TRUE,Pronounced,FALSE,FALSE,NA,Curved slightly,0,Polyhedral,TRUE,3,NA,Unidirectional parallel,NA,NA,NA,TRUE,FALSE,Blade with lateral retouch,Direct,Continuous bilateral,NA,4.300000191,,,
RF.b_40,A1,40,NA,Maiolica,FALSE,Tool,Blade,Semi-cortical,Semi-cortical,33-66%,yes,Complete,Complete,42.40000153,15.19999981,4.800000191,2.78947382,3.166666501,6.699999809,1.200000048,5.583332953,Cortical,Winged,90,No,TRUE,Pronounced,FALSE,TRUE,Moderate,Straight,1L,Lateral steep,FALSE,1,Off-axis left,Unidirectional convergent,Pointed,Pointed,Convergent,FALSE,FALSE,Blade pointed,Direct,Apex;Distal right,NA,0.699999988,1221.238647,1117.799814,Yes
RF.b_41,A2,81,NA,Maiolica,FALSE,Tool,Blade,Semi-cortical,Semi-cortical,1-33%,yes,Proximal,Mesio-proximal,41.20000076,20.60000038,5.900000095,2,3.491525432,3.299999952,1.200000048,2.749999851,Plain,Oval,75,Hinged scars,FALSE,NA,FALSE,TRUE,Moderate,Curved slightly,0,Trapezoidal,FALSE,2,Axial,Unidirectional parallel,NA,NA,NA,TRUE,FALSE,Blade with lateral retouch,Direct,Distal left;Mesial left,NA,1.700000048,,,
RF.b_42,A1,61,NA,Other,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,29.60000038,18.20000076,5.900000095,1.626373579,3.084745842,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous bilateral,NA,4.099999905,,,
RF.b_44,A1,62,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,32.90000153,19,5.300000191,1.731579028,3.584905531,5.199999809,0.899999976,5.777777719,Linear,Linear,80,Abrasion;Hinged scars,FALSE,NA,TRUE,TRUE,Pronounced,Straight,0,Trapezoidal,FALSE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,3.5,,,
RF.b_45,A1,55,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,37.29999924,15.30000019,3.200000048,2.437908416,4.781249988,0.600000024,0.200000003,3.000000075,Punctiform,Punctiform,75,NA,FALSE,NA,FALSE,TRUE,Moderate,Straight,2R,Trapezoidal,FALSE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Mesial left,NA,NA,,,
RF.b_48,A2,77,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,17.79999924,16.20000076,4.599999905,1.098765333,3.521739369,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left,NA,4,,,
RF.b_49,A1,62,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Proximal,14.5,13.5,3.099999905,1.074074074,4.354838844,5.199999809,1.5,3.46666654,Plain,Oval,90,Abrasion,FALSE,NA,FALSE,TRUE,Pronounced,Curved slightly,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous bilateral,NA,1.5,,,
RF.b_50,A2,55,NA,Undetermined,TRUE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,25,14.60000038,5,1.712328722,2.920000076,3,1.600000024,1.874999972,Plain,Oval,80,Abrasion;Hinged scars,FALSE,NA,FALSE,TRUE,Pronounced,Straight,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Alternate,Continuous right,Mesial left,NA,,,
RF.b_52,A1,62,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Distal,Mesio-distal,31.5,17.79999924,5.800000191,1.769662997,3.068965285,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Trapezoidal,TRUE,2,Axial,Unidirectional convergent,Undetermined,Undetermined,NA,FALSE,FALSE,Blade Aurignacian,Direct,Continuous bilateral,NA,6.199999809,,,
RF.b_54,A2,45,NA,Undetermined,TRUE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,25.5,17.60000038,2.700000048,1.448863605,6.518518545,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Undetermined,FALSE,2,NA,Undetermined,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left,NA,3.599999905,,,
RF.b_55,A2,pre.80,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,35.09999847,14.39999962,4.199999809,2.437499959,3.428571493,3.900000095,1,3.900000095,Plain,Linear,80,Abrasion,FALSE,NA,TRUE,TRUE,Pronounced,Straight,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous bilateral,NA,NA,,,
RF.b_56,A1,65,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Distal,Mesio-distal,29.10000038,13.89999962,3.299999952,2.093525265,4.212121157,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Polyhedral,TRUE,3,Axial,Unidirectional convergent,Pointed,Pointed,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Apex;Continuous bilateral,NA,2.299999952,,,
RF.b_60,A2,55,NA,Undetermined,TRUE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,24.60000038,16,6.199999809,1.537500024,2.580645241,0.600000024,0.5,1.200000048,Punctiform,Punctiform,75,Abrasion,TRUE,Moderate,FALSE,TRUE,Pronounced,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,NA,,,
RF.b_62,A2,88,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,14.19999981,24.39999962,6.400000095,0.581967214,3.812499884,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,3.599999905,,,
RF.b_63,A1,60,NA,Maiolica,FALSE,Tool,Blade,Semi-cortical,Semi-cortical,33-66%,yes,Proximal,Mesio-proximal,31.20000076,12.60000038,4.300000191,2.476190462,2.930232517,2.200000048,0.699999988,3.142857264,Plain,Oval,75,Abrasion;Pointed scars,TRUE,Moderate,FALSE,TRUE,Moderate,Straight,2R,Lateral steep,FALSE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Proximal,NA,NA,,,
RF.b_65,A1,72,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,26.5,18,3.799999952,1.472222222,4.736842165,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left,NA,5.099999905,,,
RF.b_66,A1,63,NA,Scaglia.Variegata,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,8.100000381,14.80000019,5.300000191,0.547297316,2.792452766,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Trapezoidal,FALSE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left,NA,2.200000048,,,
RF.b_68,A2,55,NA,Undetermined,TRUE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,18.10000038,15.30000019,4.400000095,1.183006546,3.477272695,2,1.600000024,1.249999981,Plain,Oval,75,Abrasion,TRUE,Moderate,FALSE,TRUE,Pronounced,Curved slightly,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous bilateral,NA,4.900000095,,,
RF.b_69,A1,60,NA,Maiolica,FALSE,Blank,Bladelet,Optimal,Optimal,0%,no,Mesial,Mesial,33.09999847,10.69999981,5.199999809,3.093457856,2.057692346,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Curved slightly,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,NA,Direct,NA,NA,NA,,,
RF.b_70,A2,80,NA,Scaglia.Variegata,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,8.5,15.89999962,2.599999905,0.534591208,6.115384693,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,3,,,
RF.b_73,A1,62,NA,Maiolica,FALSE,Tool,Bladelet,Optimal,Optimal,0%,no,Mesial,Mesial,17.60000038,8,2.700000048,2.200000048,2.962962911,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,1L,Polyhedral,TRUE,3,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Bladelet retouched,Direct,Continuous left,NA,NA,,,
RF.b_74,A1,72,NA,Scaglia.Rossa,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Complete,Complete,46,15.30000019,5.099999905,3.00653591,3.000000093,3.799999952,1,3.799999952,Plain,Linear,75,Abrasion,TRUE,Moderate,FALSE,TRUE,Pronounced,Straight,1R,Trapezoidal,FALSE,2,Axial,Bidirectional,Pointed,Pointed,Irregular,TRUE,FALSE,NA,NA,NA,NA,NA,1130.701294,1068.076761,Yes
RF.b_75,A1,71,NA,Scaglia.Rossa,FALSE,Tool,Blade,Maintenance,Maintenance,33-66%,yes,Complete,Complete,46.20000076,18,9,2.566666709,2,5.599999905,3.599999905,1.55555557,Cortical,Irregular,80,No,TRUE,Moderate,FALSE,TRUE,Pronounced,Curved,0,Lateral steep,FALSE,1,Off-axis left,Unidirectional parallel,Convex,Plunging,Sub-parallel,FALSE,FALSE,Blade with lateral retouch,Inverse,NA,Continuous left,NA,2969.373779,1765.681891,Yes
RF.b_76,A1,pre.80,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Proximal,26.5,24.60000038,7.300000191,1.077235756,3.369862978,NA,NA,NA,Undetermined,Undetermined,NA,NA,FALSE,NA,FALSE,FALSE,NA,Curved slightly,0,Lateral steep,FALSE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,7.800000191,,,
RF.b_77,A2,56,NA,Scaglia.Variegata,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,21.60000038,16.10000038,5.800000191,1.341614899,2.775862043,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Curved slightly,0,Trapezoidal,TRUE,3,NA,Unidirectional convergent,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous bilateral,NA,NA,,,
RF.b_81,A2,57,NA,Maiolica,FALSE,Tool,Blade,Maintenance,Second-crest,0%,no,Complete,Complete,75.30000305,24.29999924,7.599999905,3.098765655,3.197368361,3.900000095,1.799999952,2.166666777,Plain,Oval,75,Abrasion;Pointed scars,FALSE,NA,FALSE,TRUE,Moderate,Straight,1L,Polyhedral,FALSE,3,Axial,Unidirectional parallel,Irregular,Feathered,Irregular,FALSE,FALSE,Blade with lateral retouch,Direct,Proximal,NA,3.200000048,4475.497559,2900.472645,Yes
RF.b_82,A2,69,NA,Maiolica,FALSE,Tool,Blade,Maintenance,Maintenance,0%,no,Complete,Complete,59.59999847,24.60000038,5.900000095,2.422764128,4.169491523,4.400000095,0.800000012,5.500000037,Linear,Linear,80,Abrasion;Hinged scars,TRUE,Moderate,TRUE,TRUE,Moderate,Curved,0,Polyhedral,TRUE,5,Off-axis left,Unidirectional parallel,Straight,Plunging,Sub-parallel,TRUE,FALSE,Blade with lateral retouch,Direct,Distal left;Proximal right,NA,NA,3584.828125,2566.819936,Yes
RF.b_83,A1,75,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,35.70000076,16.10000038,5.199999809,2.217391299,3.096154033,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Curved slightly,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left,NA,NA,,,
RF.b_85,A2,53,NA,Other,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,38.29999924,13.30000019,3,2.879699149,4.433333397,3.200000048,0.400000006,8,Linear,Linear,75,Abrasion,FALSE,NA,FALSE,TRUE,Pronounced,Straight,0,Polyhedral,TRUE,3,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,NA,Direct,Continuous right,NA,NA,,,
RF.b_86,A1,69,NA,Maiolica,FALSE,Tool,Bladelet,Optimal,Optimal,0%,no,Mesial,Mesial,22.10000038,10.39999962,1.700000048,2.125000115,6.117646663,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Bladelet retouched,Direct,Mesial left,NA,1.799999952,,,
RF.b_87,A1,67,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,18.60000038,12.60000038,2.5,1.476190462,5.040000153,6.300000191,1.299999952,4.846154171,Plain,Irregular,75,Abrasion;Hinged scars,TRUE,Moderate,FALSE,TRUE,Moderate,Curved slightly,0,Polyhedral,TRUE,3,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Proximal right,NA,1.299999952,,,
RF.b_89,A1,69,NA,Scaglia.Variegata,FALSE,Tool,Blade,Semi-cortical,Semi-cortical,1-33%,yes,Mesial,Mesial,18.20000076,17,4.300000191,1.07058828,3.953488197,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Polyhedral,TRUE,3,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,2,,,
RF.b_90,A2,68,NA,Scaglia.Variegata,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,24.29999924,19.5,3.700000048,1.246153807,5.270270202,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Curved slightly,0,Trapezoidal,TRUE,2,Axial,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left,NA,0.899999976,,,
RF.b_91,A2,87,NA,Scaglia.Variegata,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,23.70000076,16.29999924,3.200000048,1.453987845,5.093749686,3.200000048,0.300000012,10.6666664,Linear,Linear,75,Abrasion,TRUE,Moderate,FALSE,TRUE,Moderate,Curved slightly,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left,NA,2.799999952,,,
RF.b_93,A1,57,NA,Scaglia.Variegata,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,18.10000038,13.10000038,3.5,1.381679378,3.742857252,2.900000095,1.299999952,2.230769386,Plain,Oval,60,Abrasion,FALSE,NA,FALSE,TRUE,Pronounced,Straight,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,NA,,,
RF.b_94,A2,41,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,21.5,14.10000038,3.200000048,1.524822654,4.406250054,4.699999809,1.100000024,4.272727007,Linear,Linear,75,Abrasion;Pointed scars,TRUE,Pronounced,FALSE,TRUE,Moderate,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,4.400000095,,,
RF.b_96,A2,56,NA,Maiolica,FALSE,Tool,Blade,Maintenance,Neo-crest,0%,no,Distal,Mesio-distal,28.29999924,18.89999962,2.799999952,1.497354487,6.749999979,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Trapezoidal,TRUE,1,Axial,Bidirectional,Convex,Feathered,NA,TRUE,FALSE,Blade with lateral retouch,Direct,Continuous left,NA,NA,,,
RF.b_97,A2,76,NA,Scaglia.Variegata,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Distal,Mesio-distal,55.79999924,17.79999924,7.800000191,3.134831552,2.282051128,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Trapezoidal,TRUE,2,Axial,Unidirectional parallel,Convex,Step,NA,FALSE,FALSE,Composite tool,Direct,Apex;Continuous bilateral,NA,8.100000381,,,
RF.b_98,A1,58,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,18.29999924,12.80000019,2.599999905,1.429687419,4.923077177,0.2,0.2,1,Punctiform,Punctiform,80,No,TRUE,Moderate,FALSE,FALSE,NA,Straight,0,Lateral steep,FALSE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous bilateral,NA,NA,,,
RF.b_99,A1,67,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,24.39999962,12.69999981,4.599999905,1.921259841,2.760869581,1.399999976,1.100000024,1.272727223,Linear,Oval,75,Abrasion;Pointed scars,FALSE,NA,TRUE,TRUE,Pronounced,Curved slightly,0,Trapezoidal,FALSE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left;Proximal right,NA,1.200000048,,,
RF.b_100,A2,68,NA,Scaglia.Variegata,FALSE,Tool,Blade,Initialization,Cortical,66-99%,yes,Mesial,Mesial,39.70000076,19.20000076,5.900000095,2.067708291,3.254237365,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,2L,Flat,FALSE,0,NA,Other,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left,NA,4.900000095,,,
RF.b_104,A2,76,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Complete,Complete,60.79999924,20,4.800000191,3.039999962,4.166666501,8.800000191,3.299999952,2.666666763,Plain,Oval,60,Abrasion;Hinged scars,FALSE,NA,TRUE,TRUE,Pronounced,Curved slightly,0,Triangular,TRUE,2,Axial,Bidirectional,Convex,Feathered,Sub-parallel,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left;Mesial right;Proximal right,NA,1.5,2413.969482,2154.538072,Yes
RF.b_105,A2,70,NA,Maiolica,FALSE,Tool,Blade,Initialization,Cortical,66-99%,yes,Distal,Mesio-distal,28,12.39999962,4.099999905,2.258064586,3.024390221,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Curved slightly,0,Lateral steep,FALSE,1,Axial,Unidirectional parallel,Straight,Feathered,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left,NA,4.900000095,,,
RF.b_107,A1,57,NA,Undetermined,TRUE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,24,16.20000076,4.199999809,1.481481412,3.857143214,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left,NA,1.399999976,,,
RF.b_109,A2,69,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,30.5,16.89999962,6.599999905,1.804733769,2.56060604,3.400000095,1.799999952,1.888888992,Plain,Oval,75,Abrasion,TRUE,Moderate,FALSE,TRUE,Moderate,Curved slightly,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,1.700000048,,,
RF.b_110,A2,69,NA,Scaglia.Variegata,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,21,13.80000019,2.799999952,1.521739109,4.928571581,2.900000095,1.100000024,2.636363666,Linear,Linear,60,No,FALSE,NA,TRUE,TRUE,Pronounced,Straight,1R,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_111,A1,69,NA,Scaglia.Variegata,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,40.70000076,14.69999981,3.400000095,2.768707571,4.323529234,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,2R,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous left;Mesial right,NA,1.799999952,,,
RF.b_112,A2,79,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,21.70000076,16.5,3.099999905,1.315151561,5.322580809,3.799999952,1.899999976,2,Plain,Oval,60,Abrasion;Hinged scars,TRUE,Pronounced,FALSE,TRUE,Pronounced,Straight,0,Triangular,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,TRUE,FALSE,Blade with lateral retouch,Direct,Proximal right,NA,1,,,
RF.b_115,A2,77,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,32.40000153,16.5,4.800000191,1.963636456,3.437499863,3.299999952,1.299999952,2.538461595,Plain,Oval,75,Abrasion;Pointed scars,FALSE,NA,TRUE,TRUE,Pronounced,Straight,1R,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous bilateral,NA,1.200000048,,,
RF.b_116,A2,53,NA,Maiolica,FALSE,Tool,Blade,Optimal,Optimal,0%,no,Mesial,Mesial,20,26,6.400000095,0.769230769,4.062499939,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,NA,FALSE,FALSE,Blade with lateral retouch,Direct,Continuous right,NA,2.5,,,
