"id","us","square"
233.1,"A1",62
234.1,"A2",80
235.1,"A2",101
236.1,"A2",40
237.1,"A1",81
239.1,"A2",95
240.1,"A2",85
241.1,"A1",62
242.1,"A2",101
243.1,"A2",120
244.1,"D3+D6",101
245.1,"A2",110
1.2,"A1",63
3.2,"A2",88
4.2,"A2",78
6.2,"A2",69
8.2,"A1",58
10.2,"A2",69
11.2,"A2",56
12.2,"A2",77
13.2,"A2",65
14.2,"A2",88
15.2,"A2",66
16.2,"A1",58
17.2,"A2",55
18.2,"A1",63
19.2,"A2",88
20.2,"A1",62
23.2,"A1",72
24.2,"A1",72
25.2,"A1",51
26.2,"D3d base",76
27.2,"D3d base",76
29.2,"A2",30
31.2,"A2",77
34.2,"A1",63
35.2,"A2",66
36.2,"A2",53
38.2,"A2",55
39.2,"D3d base",57
40.2,"A2",65
41.2,"A2",67
42.2,"A2",115
44.2,"A2",55
45.2,"A2",67
46.2,"A2",40
48.2,"A2",50
49.2,"D6",120
50.2,"A2",78
51.2,"A1",62
54.2,"A2",110
55.2,"A2",65
56.2,"A2",68
57.2,"D3b",25
58.2,"D3d base","z50"
59.2,"A1",58
60.2,"A2",55
61.2,"A2",100
63.2,"D6",125
64.2,"D3+D6",102
65.2,"D6",95
66.2,"A1",72
67.2,"D3d base",77
68.2,"A2",79
69.2,"D3+D6",106
70.2,"A2",49
71.2,"D6",105
73.2,"D3+D6",101
74.2,"D6",116
75.2,"A1",61
76.2,"A2",115
77.2,"A1",62
78.2,"A2R",130
79.2,"A2",95
83.2,"D3+D6",91
84.2,"A2",55
85.2,"A2",66
86.2,"A1",56
87.2,"D3d",75
89.2,"D3b",30
91.2,"A2",115
92.2,"A1",55
93.2,"A2",57
94.2,"D3d base",87
95.2,"A2",110
98.2,"D6",116
99.2,"A2",31
101.2,"D6",95
103.2,"D3d base",47
104.2,"A2",111
105.2,"D3d base",59
107.2,"A1",62
108.2,"A2",86
109.2,"A2",115
111.2,"D6",110
113.2,"A2",110
115.2,"A2",50
116.2,"A2",111
117.2,"A2",92
119.2,"A2",77
120.2,"A1",70
121.2,"A2",55
122.2,"A1",40
123.2,"A2",77
124.2,"A1",63
126.2,"D3d base",68
128.2,"D3+D6",95
129.2,"D3d base",68
132.2,"A2",80
133.2,"A2",95
134.2,"A2",91
136.2,"A2",100
137.2,"A2",130
138.2,"A2",66
139.2,"A2",55
140.2,"A1",58
141.2,"D3d base",76
142.2,"D6",118
143.2,"A2",88
144.2,"A1",77
146.2,"A2",77
147.2,"A2",77
148.2,"D3a+b sabbie",138
149.2,"D3+D6",102
151.2,"D3d base",47
152.2,"A2",110
157.2,"D3+D6",101
158.2,"D6",91
159.2,"A2",95
162.2,"A2",95
163.2,"A2",115
164.2,"A2",120
165.2,"A2",91
166.2,"A2",111
167.2,"D6",91
169.2,"A2",91
170.2,"A1",69
171.2,"A1",50
173.2,"A2",81
174.2,"A2",88
175.2,"A2",62
176.2,"A2",86
177.2,"A1",52
178.2,"A2",55
179.2,"D3d base",68
180.2,"A1",72
181.2,"A1",71
182.2,"A2",45
183.2,"A1",72
184.2,"A2",67
185.2,"A2",62
187.2,"A2",58
188.2,"A1",72
190.2,"A2",95
191.2,"A2",77
192.2,"A2",95
193.2,"A2",55
194.2,"A2",40
196.2,"A2",115
198.2,"A2",95
205.2,"A2",55
206.2,"A1",58
207.2,"D6",81
208.2,"A2",91
209.2,"A2",100
211.2,"D6",118
212.2,"D6",116
213.2,"A2",110
215.2,"A2",115
216.2,"D6",101
217.2,"D6",101
218.2,"D6",125
219.2,"D3+D6",101
222.2,"A2",87
223.2,"A2",57
224.2,"A2",40
225.2,"A2",67
226.2,"A2",50
230.2,"A2",100
231.2,"A2",101
232.2,"D3d base","z50"
233.2,"A1",62
234.2,"A2",80
235.2,"A2",91
236.2,"A2",40
237.2,"A1",81
239.2,"A2",95
240.2,"A2",91
241.2,"A1",72
242.2,"A2",101
243.2,"D6",121
244.2,"D3+D6",101
13.3,"A2",115
67.3,"D3d base",78
89.3,"A1",55
98.3,"D6",117
116.3,"A2",65
137.3,"A2",110
198.3,"A2",95
231.3,"A2",101
235.3,"A2",102
237.3,"A2",50
79.1,"D6","NA"
171.1,"D6","NA"
188.1,"D6","NA"
238.1,"A2",79
88.2,"D6",106
238.2,"A2",79
